source,target,relation
attributeerror type object has no attribute,cp cannot copy cyclic symbolic link,directed
attributeerror type object has no attribute,find docker permission denied,directed
attributeerror type object has no attribute,valueerror jira not promoted because built in expecting,directed
awk symbol lookup error awk undefined symbol,jq error at stdin null null has no keys,directed
cannot open directory dhcp,cannot open directory grub d,directed
cc no such file or directory,ccpentium linker input file unused because linking not done,directed
cc no such file or directory,compile failed using,directed
cc no such file or directory,fail,directed
ccpentium linker input file unused because linking not done,error gnu compilers before are not supported anymore,directed
ccpentium linker input file unused because linking not done,error unsupported toolchain,directed
ccppc linker input file unused because linking not done,cccp invalid option,directed
ccppc linker input file unused because linking not done,ccpentium linker input file unused because linking not done,directed
compile failed using,cannot open directory grub d,directed
compile failed using,cc error unrecognized command line option,directed
compile failed using,typeerror a bytes like object is required not,directed
cp cannot stat no such file or directory,cannot open directory grub d,directed
cp cannot stat no such file or directory,cc error unrecognized command line option,directed
did not find any package,cp cannot stat no such file or directory,directed
error copera job operators build bat executor subprocess error for bat command,find docker permission denied,directed
error declaration of c function conflicts with,compile failed using,directed
error declaration of c function conflicts with,copy from artifactory failed going to wrap and retry,directed
error declaration of c function conflicts with,cp r not specified omitting directory,directed
error each undeclared identifier is reported only once,cp cannot stat no such file or directory,directed
error each undeclared identifier is reported only once,error syntax error before,directed
error each undeclared identifier is reported only once,error syntax error before token,directed
error each undeclared identifier is reported only once,error undeclared first use in this function,directed
error enumerator value for not integer constant,cannot open directory grub d,directed
error enumerator value for not integer constant,cc error unrecognized command line option,directed
error for each function it appears in,error each undeclared identifier is reported only once,directed
error for each function it appears in,error syntax error before,directed
error for each function it appears in,error syntax error before token,directed
error for each function it appears in,error undeclared first use in this function,directed
error gnu compilers before are not supported anymore,ccppc linker input file unused because linking not done,directed
error gnu compilers before are not supported anymore,did not find any package,directed
error gnu compilers before are not supported anymore,error unsupported toolchain,directed
error no match for in,cat no such file or directory,directed
error no match for in,compile failed using,directed
error no match for in,sed can t read temp no such file or directory,directed
error previous declaration here,cp r not specified omitting directory,directed
error previous declaration here,error declaration of c function conflicts with,directed
error previous declaration here,error unsupported toolchain,directed
error previous declaration here,fail,directed
error previous declaration of was here,cannot open directory dhcp,directed
error previous declaration of was here,cannot open directory grub d,directed
error previous declaration of was here,error conflicting types for,directed
error previous definition of was here,cannot open directory grub d,directed
error previous definition of was here,error conflicting types for,directed
error previous definition of was here,error previous declaration of was here,directed
error previous definition of was here,error undeclared first use in this function,directed
error previous implicit declaration of was here,error conflicting types for,directed
error previous implicit declaration of was here,error declaration of c function conflicts with,directed
error previous implicit declaration of was here,error gnu compilers before are not supported anymore,directed
error previous implicit declaration of was here,error unsupported toolchain,directed
error python version is not available,cc error unrecognized command line option,directed
error requested alignment is not a constant,cc error unrecognized command line option,directed
error requested alignment is not a constant,error conflicting types for,directed
error requested alignment is not a constant,error each undeclared identifier is reported only once,directed
error requested alignment is not a constant,error syntax error before,directed
error requested alignment is not a constant,error undeclared first use in this function,directed
error subprocess error for bat command,cp cannot stat no such file or directory,directed
error syntax error before,cp cannot stat no such file or directory,directed
error syntax error before,error previous declaration of was here,directed
error syntax error before token,cp cannot stat no such file or directory,directed
error syntax error before token,error requested alignment is not a constant,directed
error syntax error before token,error syntax error before,directed
error syntax error before token,error undeclared first use in this function,directed
error undeclared first use in this function,error syntax error before,directed
error unsupported toolchain,cccp invalid option,directed
error unsupported toolchain,error declaration of c function conflicts with,directed
error was not declared in this scope,cat no such file or directory,directed
error was not declared in this scope,error no match for in,directed
