source,target,coefficient
sed can t read temp no such file or directory,awk symbol lookup error awk undefined symbol,0.0009659720099585058
tput no value for term and no t specified,awk symbol lookup error awk undefined symbol,-0.00029318182688635474
cannot open directory grub d,cannot open directory dhcp,0.4509677223168853
cp cannot stat no such file or directory,cannot open directory dhcp,-0.0070924840279256605
error conflicting types for,cannot open directory dhcp,0.0030885403059254485
error previous declaration of was here,cannot open directory dhcp,0.06264192829632254
fail,cannot open directory dhcp,0.023481015315745462
find no such file or directory,cannot open directory dhcp,0.012974919791419567
line toolsetup command not found,cannot open directory dhcp,0.16533001099802547
no such file,cannot open directory dhcp,-0.0004347512098914093
tput no value for term and no t specified,cannot open directory dhcp,-0.0014531061933178444
cannot open directory dhcp,cannot open directory grub d,0.17625669930303853
cp cannot stat no such file or directory,cannot open directory grub d,0.006094282056778285
did not find any package,cannot open directory grub d,0.006790826512875324
error conflicting types for,cannot open directory grub d,-0.02547261147871918
error each undeclared identifier is reported only once,cannot open directory grub d,-0.0001741297942657547
error previous declaration of was here,cannot open directory grub d,0.060047804153777314
error previous definition of was here,cannot open directory grub d,-0.006126181192449941
error syntax error before,cannot open directory grub d,-0.00043921109209720677
error undeclared first use in this function,cannot open directory grub d,-0.0028913963931974105
fail,cannot open directory grub d,0.000627345058217732
find no such file or directory,cannot open directory grub d,-0.006632314858587917
line toolsetup command not found,cannot open directory grub d,0.03040806178484097
no such file or directory,cannot open directory grub d,-2.774798996051689e-05
tput no value for term and no t specified,cannot open directory grub d,0.00021960264682597944
error no match for in,cat no such file or directory,0.006877353378090365
mv cannot stat no such file or directory,cat no such file or directory,0.0007751089344215549
rm cannot remove no such file or directory,cat no such file or directory,0.09431523660338104
tput no value for term and no t specified,cat no such file or directory,-0.00019500032538822854
cp cannot stat no such file or directory,cc error unrecognized command line option,-0.00038020198433088117
error python version is not available,cc error unrecognized command line option,0.2449456543887557
fail,cc error unrecognized command line option,0.0005492203394914084
find no such file or directory,cc error unrecognized command line option,0.004661108427485053
line toolsetup command not found,cc error unrecognized command line option,0.01169058008520237
no such file or directory,cc error unrecognized command line option,-0.0062766422058522535
tput no value for term and no t specified,cc error unrecognized command line option,-0.0007444142475280088
ccpentium linker input file unused because linking not done,cc no such file or directory,0.01816764617301671
cp cannot stat no such file or directory,cc no such file or directory,-0.0005722345409750426
no such file,cc no such file or directory,0.007755491890730377
sed can t read temp no such file or directory,cccp invalid option,0.036151268870060996
tput no value for term and no t specified,cccp invalid option,0.004782144631052355
cc no such file or directory,ccpentium linker input file unused because linking not done,0.22042153266564019
cp cannot stat no such file or directory,ccpentium linker input file unused because linking not done,-0.00012197699007132508
error gnu compilers before are not supported anymore,ccpentium linker input file unused because linking not done,0.0015558157390760878
error unsupported toolchain,ccpentium linker input file unused because linking not done,0.017508663822750663
no such file,ccpentium linker input file unused because linking not done,0.00944484403995465
tput no value for term and no t specified,ccpentium linker input file unused because linking not done,0.000795527951323462
cccp invalid option,ccppc linker input file unused because linking not done,0.01890968981560292
cp cannot stat no such file or directory,ccppc linker input file unused because linking not done,8.833012165909482e-05
tput no value for term and no t specified,ccppc linker input file unused because linking not done,-5.8409128968443365e-06
cc error unrecognized command line option,compile failed using,0.00024866046566036774
cp cannot stat no such file or directory,compile failed using,-0.003664652862418157
error declaration of c function conflicts with,compile failed using,0.023924949456937874
error no match for in,compile failed using,0.009085517887918606
fail,compile failed using,0.03558805388266493
find no such file or directory,compile failed using,-0.0014228426644893146
tput no value for term and no t specified,compile failed using,-0.003249506939068355
cannot open directory dhcp,copy from artifactory failed going to wrap and retry,-0.00040966916437453225
cannot open directory grub d,copy from artifactory failed going to wrap and retry,-0.00011577740757970397
cat no such file or directory,copy from artifactory failed going to wrap and retry,-0.0002902173510491224
cc error unrecognized command line option,copy from artifactory failed going to wrap and retry,-0.00036858550603240944
compile failed using,copy from artifactory failed going to wrap and retry,-0.0004882871850588416
cp cannot stat no such file or directory,copy from artifactory failed going to wrap and retry,-4.584023598666549e-05
did not find any package,copy from artifactory failed going to wrap and retry,-0.00027514090305462484
error conflicting types for,copy from artifactory failed going to wrap and retry,-0.00027014240706054577
error declaration of c function conflicts with,copy from artifactory failed going to wrap and retry,-0.0002805833073295686
error each undeclared identifier is reported only once,copy from artifactory failed going to wrap and retry,-0.0002405308918915688
error for each function it appears in,copy from artifactory failed going to wrap and retry,-0.00021372724738954747
error gnu compilers before are not supported anymore,copy from artifactory failed going to wrap and retry,-0.00016578787734172176
error previous declaration here,copy from artifactory failed going to wrap and retry,-0.00029252087717350804
error requested alignment is not a constant,copy from artifactory failed going to wrap and retry,-0.00021071485982216434
error syntax error before,copy from artifactory failed going to wrap and retry,-0.00021013647810967916
error syntax error before token,copy from artifactory failed going to wrap and retry,-0.0002307607256990366
error undeclared first use in this function,copy from artifactory failed going to wrap and retry,-0.00025382859887877003
error unsupported toolchain,copy from artifactory failed going to wrap and retry,-3.807470700011321e-05
fail,copy from artifactory failed going to wrap and retry,-0.0003935535987347313
find no such file or directory,copy from artifactory failed going to wrap and retry,-0.00044061798499878867
invalid suffix on integer constant,copy from artifactory failed going to wrap and retry,-0.00012851110045611675
jq error at stdin null null has no keys,copy from artifactory failed going to wrap and retry,-0.0004569043103032507
make cleartool command not found,copy from artifactory failed going to wrap and retry,-5.7102868579295e-05
mv cannot stat no such file or directory,copy from artifactory failed going to wrap and retry,-0.00035393361341991086
no such file,copy from artifactory failed going to wrap and retry,-0.000475710068061517
no such file or directory,copy from artifactory failed going to wrap and retry,-0.0003367691467530829
sed can t read temp no such file or directory,copy from artifactory failed going to wrap and retry,-0.0005763785269275202
tput no value for term and no t specified,copy from artifactory failed going to wrap and retry,-0.00046960328922529294
cp cannot stat no such file or directory,cp cannot copy cyclic symbolic link,-3.357756486286905e-05
did not find any package,cp cannot copy cyclic symbolic link,0.003971286015808528
typeerror a bytes like object is required not,cp cannot copy cyclic symbolic link,0.010064994999555706
cannot open directory grub d,cp cannot stat no such file or directory,0.2863335404836404
cccp invalid option,cp cannot stat no such file or directory,-0.02367734778409168
ccppc linker input file unused because linking not done,cp cannot stat no such file or directory,0.001683299838723538
compile failed using,cp cannot stat no such file or directory,-0.007439487468736396
copy from artifactory failed going to wrap and retry,cp cannot stat no such file or directory,0.014720451015402519
did not find any package,cp cannot stat no such file or directory,0.24611763858580374
error declaration of c function conflicts with,cp cannot stat no such file or directory,-0.03166637845688648
error each undeclared identifier is reported only once,cp cannot stat no such file or directory,-0.019781883215939138
error gnu compilers before are not supported anymore,cp cannot stat no such file or directory,-0.008171811578437113
error previous declaration here,cp cannot stat no such file or directory,-0.04563745187773926
error syntax error before,cp cannot stat no such file or directory,-0.0023305563724371164
error syntax error before token,cp cannot stat no such file or directory,-0.011225263173769776
error undeclared first use in this function,cp cannot stat no such file or directory,-0.012445404275101803
fail,cp cannot stat no such file or directory,-0.014784813704462078
invalid suffix on integer constant,cp cannot stat no such file or directory,-0.01934892002440322
jq error at stdin null null has no keys,cp cannot stat no such file or directory,0.3356194015158914
line toolsetup command not found,cp cannot stat no such file or directory,-0.03382181907375748
make cleartool command not found,cp cannot stat no such file or directory,0.3519216463586175
mv cannot stat no such file or directory,cp cannot stat no such file or directory,-0.011868942915946588
no such file,cp cannot stat no such file or directory,0.36735423679103346
no such file or directory,cp cannot stat no such file or directory,0.025779712140908146
rm cannot remove no such file or directory,cp cannot stat no such file or directory,0.03465709156460744
sed can t read no such file or directory,cp cannot stat no such file or directory,0.3594363601026702
sed can t read temp no such file or directory,cp cannot stat no such file or directory,0.013108906791292025
tput no value for term and no t specified,cp cannot stat no such file or directory,0.01105647075623343
