source,target,weight,l1_strength,sum_signed
Analyzing CPU usage,###### random boundary #####,-0.013360907976612213,0.013360907976612213,-0.006944075216575723
Analyzing historical trends,###### random boundary #####,0.018759892011228737,0.018759892011228737,0.0012564651461985797
Analyzing static code,###### random boundary #####,0.008694702445576767,0.008694702445576767,0.008694702445576767
Archiving build artifacts,###### random boundary #####,-0.016520456477667794,0.016520456477667794,-0.016520456477667794
Building CXX object,###### random boundary #####,0.0059429986512945475,0.0059429986512945475,0.0059429986512945475
Building Java classes,###### random boundary #####,0.003998536928426893,0.003998536928426893,0.003998536928426893
Checking available memory,###### random boundary #####,0.040425032510251466,0.040425032510251466,0.040425032510251466
Checking code style,###### random boundary #####,0.06495537028969955,0.06495537028969955,0.03905975574019183
Checking database connectivity,###### random boundary #####,0.04380860941010291,0.04380860941010291,0.04380860941010291
Checking disk space,###### random boundary #####,0.005946030262866519,0.005946030262866519,0.005160061053850809
Checking out branch,###### random boundary #####,0.05422173033896221,0.05422173033896221,0.03386935579741265
Cloning repository,###### random boundary #####,0.0031927524696050073,0.0031927524696050073,0.0031927524696050073
Compiling TypeScript files,###### random boundary #####,0.006066465625951178,0.006066465625951178,0.002104848877686098
Compressing log files,###### random boundary #####,0.05081732212714128,0.05081732212714128,0.05081732212714128
Configuring build environment,###### random boundary #####,-0.005935917547479009,0.005935917547479009,-0.005935917547479009
Converting markdown to HTML,###### random boundary #####,0.012884966594822167,0.012884966594822167,0.012884966594822167
Creating git tag,###### random boundary #####,0.0012361847534126803,0.0012361847534126803,0.0012361847534126803
Creating new pipeline configuration,###### random boundary #####,-0.002793056391857733,0.002793056391857733,-0.002793056391857733
Creating release notes,###### random boundary #####,0.0037807237974595465,0.0037807237974595465,0.0037807237974595465
Creating version header,###### random boundary #####,0.00896744521248078,0.00896744521248078,0.002607006674827902
Decrypting configuration files,###### random boundary #####,0.0002576679377432372,0.0002576679377432372,0.0002576679377432372
Dependency chain resolved,###### random boundary #####,-0.011100501257584827,0.011100501257584827,-0.0016833515167455357
Deploying Helm charts,###### random boundary #####,0.03870069881972507,0.03870069881972507,0.03870069881972507
Deploying to staging environment,###### random boundary #####,-0.011004391529494745,0.011004391529494745,-0.0015623648276235549
Deprecated function used,###### random boundary #####,0.0007157160106282651,0.0007157160106282651,8.955370720132319e-05
Encrypting artifacts,###### random boundary #####,0.0071514853371210385,0.0071514853371210385,0.0071514853371210385
Entering compilation loop,###### random boundary #####,0.04688936468597535,0.04688936468597535,0.04688936468597535
Finalizing CI job,###### random boundary #####,0.12530988404997795,0.12530988404997795,0.12530988404997795
Formatting source code,###### random boundary #####,0.06862609540409013,0.06862609540409013,0.025039123204243285
Generating code coverage report,###### random boundary #####,-0.0006979019497995806,0.0006979019497995806,-0.0006979019497995806
Generating documentation with Doxygen,###### random boundary #####,0.0035511167800916666,0.0035511167800916666,0.0024194317023614595
Generating system diagnostics,###### random boundary #####,0.0009821373815424126,0.0009821373815424126,0.0009821373815424126
Installing dependencies,###### random boundary #####,0.00121927063017601,0.00121927063017601,0.00121927063017601
Linker returned non-zero exit code,###### random boundary #####,-0.01056550449927646,0.01056550449927646,-0.01056550449927646
Linking CXX executable,###### random boundary #####,0.0020993423893816477,0.0020993423893816477,0.0020993423893816477
Logging build statistics,###### random boundary #####,-0.002555016377564129,0.002555016377564129,-0.002555016377564129
Logging health status,###### random boundary #####,0.011614421524613668,0.011614421524613668,0.011614421524613668
Measuring memory usage,###### random boundary #####,-0.00546487913823472,0.00546487913823472,-0.00546487913823472
Merging pull request,###### random boundary #####,0.0017419076092990565,0.0017419076092990565,0.0017419076092990565
Migrating database schema,###### random boundary #####,-0.0005235209416101953,0.0005235209416101953,-0.0005235209416101953
Monitoring build agents,###### random boundary #####,0.004938612358972549,0.004938612358972549,0.004938612358972549
Notifying release manager,###### random boundary #####,-0.0013816112636783773,0.0013816112636783773,-0.0013816112636783773
Optimizing assets,###### random boundary #####,-0.00031679483675719686,0.00031679483675719686,-0.00031679483675719686
Out of memory during linking stage,###### random boundary #####,0.005205245671526623,0.005205245671526623,0.0036526894125553586
Publishing artifacts to repository,###### random boundary #####,0.001534685450680027,0.001534685450680027,0.0010538184716450156
Publishing site,###### random boundary #####,-0.00016526886680130683,0.00016526886680130683,-0.00016526886680130683
Pulling Docker base image,###### random boundary #####,0.001176670635337182,0.001176670635337182,0.0003821777921973238
Pushing Docker image,###### random boundary #####,0.0004755873761824559,0.0004755873761824559,0.0004755873761824559
Rebalancing workloads,###### random boundary #####,0.007627800529950934,0.007627800529950934,0.007627800529950934
Rebasing branch,###### random boundary #####,0.002665180939685959,0.002665180939685959,0.002665180939685959
Rebuilding failed jobs,###### random boundary #####,-0.001259604667635713,0.001259604667635713,-0.001259604667635713
Reporting test results,###### random boundary #####,-0.005324582392945913,0.005324582392945913,-0.003344810115361103
Restarting database service,###### random boundary #####,0.001682000230067121,0.001682000230067121,0.00011757182015299252
Restarting failed containers,###### random boundary #####,0.0025640162595911564,0.0025640162595911564,0.0025640162595911564
Restoring database,###### random boundary #####,0.005514292877242903,0.005514292877242903,0.005514292877242903
Reviewing dependencies,###### random boundary #####,0.0007189619575009237,0.0007189619575009237,0.0007189619575009237
Running integration tests,###### random boundary #####,-0.008974399537944024,0.008974399537944024,-0.008974399537944024
Running linter checks,###### random boundary #####,-0.009974427493097035,0.009974427493097035,-0.009974427493097035
Running performance tests,###### random boundary #####,0.0004138154893567719,0.0004138154893567719,0.0004138154893567719
Running regression tests,###### random boundary #####,0.003672816654609501,0.003672816654609501,0.003672816654609501
Running smoke tests,###### random boundary #####,0.001966163618114444,0.001966163618114444,0.001966163618114444
Running unit tests,###### random boundary #####,-0.0009452538387573081,0.0009452538387573081,-0.0009452538387573081
Scanning for secrets in code,###### random boundary #####,0.001973749988643213,0.001973749988643213,0.001973749988643213
Seeding database,###### random boundary #####,-0.0004950634201979774,0.0004950634201979774,-0.0004950634201979774
Sending Slack notification,###### random boundary #####,0.003472083510752416,0.003472083510752416,0.0019349906075162926
Sending report via email,###### random boundary #####,0.003678449292153578,0.003678449292153578,0.000822033556792686
Starting CI job,###### random boundary #####,-0.00432535393794405,0.00432535393794405,-0.00432535393794405
Syncing mirrors,###### random boundary #####,-0.000644763833205764,0.000644763833205764,-0.000644763833205764
Syncing with GitHub,###### random boundary #####,0.008175419896598916,0.008175419896598916,0.0031345630798226783
"TRACE socket recv timeout, backing off 200ms",###### random boundary #####,0.0022726135606507976,0.0022726135606507976,0.0022726135606507976
Tagging Docker image,###### random boundary #####,6.49917445010975e-05,6.49917445010975e-05,6.49917445010975e-05
Tracking build metrics,###### random boundary #####,0.004413875980269472,0.004413875980269472,0.004413875980269472
